2700:
 num     #instances         #bytes  class name (module)
  94:          5204        2878120  [Ljava.util.WeakHashMap$Entry; (java.base@25.0.4)
  95:        118624        2870376  [[I (java.base@25.0.4)
  96:        178729        2859664  org.embeddedt.vintagefix.util.CachedResourcePath
  97:        118272        2838528  mekanism.common.recipe.machines.RecyclerRecipe
  98:        118272        2838528  mekanism.common.recipe.outputs.ChanceOutput2
  99:        117241        2813784  codechicken.lib.vec.Vertex5
 100:         96877        2773720  [Ljava.lang.Class; (java.base@25.0.4)
 101:         86569        2770208  org.embeddedt.embeddium.impl.util.collections.quadtree.QuadTree$Entry
 102:        170952        2735232  it.unimi.dsi.fastutil.objects.Object2ObjectOpenHashMap$MapEntrySet
 103:         56599        2716752  net.minecraft.item.crafting.Ingredient
 104:            69        2674256  [Ljava.util.concurrent.ForkJoinTask; (java.base@25.0.4)
 105:         66866        2599328  [F (java.base@25.0.4)
 106:         52980        2543040  org.objectweb.asm.tree.InsnNode
 107:         78193        2502176  net.minecraftforge.registries.RegistryDelegate
 108:         99832        2395968  com.google.common.collect.MapMakerInternalMap$StrongKeyDummyValueEntry
 109:         41131        2303336  net.minecraft.client.renderer.block.model.SimpleBakedModel
 110:         71801        2297632  java.security.Permissions (java.base@25.0.4)
 111:         56999        2279960  java.util.Hashtable$Entry (java.base@25.0.4)
 112:         69767        2232544  github.kasuminova.stellarcore.common.util.NonNullList
 113:         17636        2232176  [Ljava.lang.reflect.Method; (java.base@25.0.4)
 114:         23211        2228256  net.minecraftforge.oredict.OreIngredient
 115:         89830        2155920  com.hbm.render.loader.TextureCoordinate
 116:         33578        2148992  java.lang.invoke.BoundMethodHandle$Species_LL (java.base@25.0.4)
 117:         26718        2137440  net.minecraftforge.common.property.ExtendedBlockState$ExtendedStateImplementation
 118:         17611        2113320  java.lang.reflect.Constructor (java.base@25.0.4)
 119:         65937        2109984  net.minecraftforge.client.model.obj.OBJModel$Face
 120:         37067        2075752  java.util.TreeMap$Entry (java.base@25.0.4)
 121:        129413        2070608  com.google.common.collect.SingletonImmutableList
 122:         21533        2067168  slimeknights.tconstruct.library.client.texture.TinkerTexture
 123:         31420        2010880  org.embeddedt.embeddium.impl.util.collections.quadtree.QuadTree
 124:         27329        1967688  org.objectweb.asm.tree.FieldInsnNode
 125:         35048        1962688  net.minecraftforge.client.model.MultiModel$Baked
 126:         61253        1960096  net.minecraftforge.common.capabilities.CapabilityDispatcher
 127:         80717        1937208  net.minecraftforge.registries.ForgeRegistry$OverrideOwner
 128:           805        1927008  [Ljava.util.Hashtable$Entry; (java.base@25.0.4)
 129:         21724        1911712  it.unimi.dsi.fastutil.ints.Int2ObjectOpenHashMap
 130:        116231        1859696  net.minecraft.nbt.NBTTagFloat
 131:         75133        1803192  org.apache.commons.lang3.tuple.ImmutablePair
 132:         27566        1764224  org.objectweb.asm.Frame
 133:         54885        1756320  org.spongepowered.asm.mixin.transformer.ClassInfo$FrameData
 134:          1535        1645560  [D (java.base@25.0.4)
 135:         29120        1630720  org.objectweb.asm.tree.LocalVariableNode
 136:         33424        1604352  java.lang.ref.SoftReference (java.base@25.0.4)
 137:         61253        1587600  [Lnet.minecraftforge.common.capabilities.ICapabilityProvider;
 138:         65580        1573920  java.util.BitSet (java.base@25.0.4)
 139:         95712        1531392  java.util.EnumMap$EntrySet (java.base@25.0.4)
 140:         31783        1525584  net.minecraft.client.renderer.block.model.BlockPart
 141:          9733        1401552  slimeknights.tconstruct.library.client.texture.TextureColoredTexture
 142:         87146        1394336  com.google.common.collect.RegularImmutableList
