42392:
 num     #instances         #bytes  class name (module)
  92:         30929         742296  net.minecraftforge.fml.common.discovery.asm.ModAnnotation$EnumHolder
  93:         22978         735296  org.objectweb.asm.Edge
  94:         21960         702720  net.minecraftforge.registries.RegistryDelegate
  95:          3040         696936  [J (java.base@25.0.4)
  96:         10446         668544  java.lang.invoke.DirectMethodHandle$Accessor (java.base@25.0.4)
  97:          5478         657360  kotlin.reflect.jvm.internal.impl.metadata.ProtoBuf$Type
  98:         15732         630272  [Lcom.hbm.render.loader.Vertex;
  99:         39346         629536  com.google.gson.JsonPrimitive
 100:         12623         605904  stanhebben.zenscript.type.natives.JavaMethod
 101:           993         591784  [Lorg.objectweb.asm.tree.AbstractInsnNode;
 102:         18433         589856  codechicken.lib.vec.uv.UV
 103:          7183         574640  java.lang.invoke.DirectMethodHandle$StaticAccessor (java.base@25.0.4)
 104:         14025         561000  org.objectweb.asm.tree.AnnotationNode
 105:         34505         552080  java.util.HashMap$EntrySet (java.base@25.0.4)
 106:          8589         549696  org.spongepowered.asm.mixin.transformer.ClassInfo$Field
 107:         11451         549648  jdk.nio.zipfs.ZipFileSystem$IndexNode (jdk.zipfs@25.0.4)
 108:         16644         532608  net.minecraft.util.math.Vec3d
 109:             1         524304  [Lnet.minecraft.nbt.NBTTagDouble;
 110:             1         524304  [Lnet.minecraft.nbt.NBTTagFloat;
 111:             1         524304  [Lnet.minecraft.nbt.NBTTagInt;
 112:             1         524304  [Lnet.minecraft.nbt.NBTTagLong;
 113:             1         524304  [Lnet.minecraft.nbt.NBTTagShort;
 114:          7866         503424  com.hbm.render.loader.Face
 115:          8173         457688  org.objectweb.asm.tree.TypeInsnNode
 116:          4085         457520  com.hbm.render.anim.sedna.BusAnimationKeyframeSedna
 117:          8159         456904  kotlin.reflect.jvm.internal.impl.protobuf.SmallSortedMap$1
 118:           366         448920  [C (java.base@25.0.4)
 119:         18433         442392  codechicken.lib.vec.Vertex5
 120:          4346         424616  [Ljava.lang.reflect.Field; (java.base@25.0.4)
 121:          7458         417648  java.lang.invoke.DirectMethodHandle (java.base@25.0.4)
 122:          5789         416808  java.lang.invoke.DirectMethodHandle$Constructor (java.base@25.0.4)
 123:          2717         412984  org.spongepowered.asm.mixin.transformer.ClassInfo
 124:          9695         387800  net.minecraftforge.registries.ObjectHolderRef
 125:         11915         381280  com.creativemd.creativecore.transformer.TransformerNames$FieldName
 126:         15604         374496  com.hbm.render.loader.Vertex
 127:          2010         373512  [Ljava.util.WeakHashMap$Entry; (java.base@25.0.4)
 128:         15448         370752  java.lang.invoke.ResolvedMethodName (java.base@25.0.4)
 129:          5622         359808  java.util.WeakHashMap$Entry (java.base@25.0.4)
 130:          6314         353584  [Ljava.util.ArrayList; (java.base@25.0.4)
 131:          4403         352240  it.unimi.dsi.fastutil.objects.Object2IntOpenHashMap
 132:         10997         351904  net.minecraft.util.registry.RegistrySimple
 133:          8767         350680  org.objectweb.asm.tree.InsnList
 134:          6230         348880  org.objectweb.asm.tree.LdcInsnNode
 135:          6212         347872  java.lang.invoke.BoundMethodHandle$Species_L (java.base@25.0.4)
 136:         10823         346336  stanhebben.zenscript.type.natives.ZenNativeMember
 137:         14272         343856  [Ljava.security.cert.Certificate; (java.base@25.0.4)
 138:          8420         336800  java.lang.Package (java.base@25.0.4)
 139:          7866         315136  [Lcom.hbm.render.loader.TextureCoordinate;
 140:           427         310888  [F (java.base@25.0.4)
 141:         19310         308960  com.google.gson.JsonObject
 142:         19135         306160  com.google.common.collect.SingletonImmutableSet
 143:          6314         303072  net.minecraftforge.fml.common.eventhandler.ListenerList$ListenerListInst
 144:          4194         301968  java.util.TreeMap (java.base@25.0.4)
 145:         12420         298080  net.minecraft.client.model.TexturedQuad
 146:          4507         288448  com.google.common.collect.ImmutableSortedMap
 147:         11723         281352  com.hbm.render.loader.TextureCoordinate
 148:         17211         275376  com.google.common.collect.RegularImmutableList
 149:         12623         269968  [Lstanhebben.zenscript.type.ZenType;
 150:          1193         267232  org.spongepowered.asm.mixin.transformer.MixinInfo$MixinClassNode
 151:          2070         264960  com.michaelsebero.efficiententities.util.CubeGeometry
 152:         13405         263800  [Z (java.base@25.0.4)
 153:          3649         262728  jdk.internal.ref.CleanerImpl$PhantomCleanableRef (java.base@25.0.4)
 154:          8071         258272  net.minecraft.util.text.TextComponentString
 155:          6313         252520  java.io.File (java.base@25.0.4)
 156:         10493         251832  java.util.Collections$UnmodifiableRandomAccessList (java.base@25.0.4)
 157:          3906         249984  org.spongepowered.asm.util.ClassSignature$Token
 158:          5186         248928  java.lang.invoke.LambdaForm$Name (java.base@25.0.4)
 159:          1848         243936  [Ljava.lang.ref.SoftReference; (java.base@25.0.4)
 160:          1559         236968  org.spongepowered.asm.mixin.transformer.MixinInfo
 161:          2457         235872  org.objectweb.asm.tree.FieldNode
 162:          9811         235464  net.irisshaders.iris.shaderpack.materialmap.NamespacedId
 163:          2924         233920  net.minecraftforge.common.config.ConfigCategory
 164:          5653         226120  net.minecraftforge.fml.common.eventhandler.ASMEventHandler
 165:          5630         225200  java.math.BigInteger (java.base@25.0.4)
 166:          1039         216112  org.objectweb.asm.tree.ClassNode
 167:          8799         214296  [Lnet.minecraft.item.ItemStack;
 168:          2025         210600  net.minecraft.client.model.ModelRenderer
 169:          8757         210168  org.embeddedt.vintagefix.fastmap.BinaryFastMapKey
 170:          2165         207840  net.minecraftforge.oredict.OreIngredient
 171:          8606         206544  net.minecraftforge.registries.ForgeRegistry$OverrideOwner
 172:         12460         199360  java.lang.ThreadLocal (java.base@25.0.4)
 173:          8159         195816  kotlin.reflect.jvm.internal.impl.protobuf.FieldSet
 174:          1329         191376  java.util.jar.JarFile$JarFileEntry (java.base@25.0.4)
 175:          4507         180280  com.google.common.collect.RegularImmutableSortedSet
