42392:
 num     #instances         #bytes  class name (module)
-------------------------------------------------------
   1:       8441534     1295102504  [B (java.base@25.0.4)
   2:       1229296     1035934904  [I (java.base@25.0.4)
   3:       4397112      634622008  [Ljava.lang.Object; (java.base@25.0.4)
   4:       8121799      194923176  java.lang.String (java.base@25.0.4)
   5:       3414969      136598760  java.util.HashMap$Node (java.base@25.0.4)
   6:        555462      108378880  [Ljava.util.HashMap$Node; (java.base@25.0.4)
   7:       4163360       99920640  net.minecraft.client.model.PositionTextureVertex
   8:       1021690       98082240  net.minecraft.item.ItemStack
   9:       1715239       82331472  com.enderio.core.common.util.NNList
  10:       2548127       61155048  java.util.ArrayList (java.base@25.0.4)
  11:        630203       60499488  github.kasuminova.stellarcore.common.util.NBTTagBackingMap
  12:        910668       50997408  java.util.HashMap (java.base@25.0.4)
  13:        702011       50544792  com.google.gson.internal.LinkedTreeMap$Node
  14:        910735       47878640  [Lnet.minecraft.client.model.PositionTextureVertex;
  15:        972284       46669632  net.minecraft.client.renderer.block.model.BakedQuad
  16:       1071105       34275360  net.minecraft.util.math.Vec3d
  17:        769842       30793680  java.util.concurrent.ConcurrentHashMap$Node (java.base@25.0.4)
  18:        351661       22506304  net.minecraft.block.state.BlockStateContainer$StateImplementation
  19:        929982       22319568  com.google.common.collect.ImmutableMapEntry
  20:        114331       22187432  java.lang.Class (java.base@25.0.4)
  21:        652371       20875872  org.objectweb.asm.Type
  22:        630203       20166496  net.minecraft.nbt.NBTTagCompound
  23:        338089       18932984  java.util.LinkedHashMap$Entry (java.base@25.0.4)
  24:        780630       18735120  net.minecraft.client.model.TexturedQuad
  25:        323584       18120704  net.minecraftforge.fml.common.discovery.ASMDataTable$ASMData
  26:        376346       18064608  org.embeddedt.vintagefix.fastmap.immutable.FastMapEntryImmutableMap
  27:        278871       17847744  com.google.common.collect.HashBiMap$Node
  28:        130105       16653440  com.michaelsebero.efficiententities.util.CubeGeometry
  29:        676152       16227648  net.minecraft.util.ResourceLocation
  30:        209856       15109632  javax.vecmath.Matrix4f
  31:        188751       15100080  com.google.gson.internal.LinkedTreeMap
  32:        101578       14627232  java.lang.reflect.Method (java.base@25.0.4)
  33:         64054       14328552  [Lcom.google.common.collect.ImmutableMapEntry;
  34:         63744       14140552  [Ljava.util.WeakHashMap$Entry; (java.base@25.0.4)
  35:        435232       13927424  com.google.common.collect.ImmutableMapEntry$NonTerminalImmutableMapEntry
  36:        209148       13385472  net.minecraftforge.common.model.TRSRTransformation
  37:          1452       13058464  [Ljava.util.concurrent.ConcurrentHashMap$Node; (java.base@25.0.4)
  38:        407050       13025600  net.minecraft.client.renderer.block.model.ModelResourceLocation
  39:        202498       12959872  java.util.WeakHashMap$Entry (java.base@25.0.4)
  40:        226037       12658072  net.minecraftforge.fml.common.discovery.asm.ModAnnotation
  41:        154614       12369120  java.util.LinkedHashMap (java.base@25.0.4)
  42:         60007       11548936  [Ljava.util.Map$Entry; (java.base@25.0.4)
  43:        327636       10484352  java.util.LinkedList$Node (java.base@25.0.4)
  44:        289857       10368720  [Lnet.minecraft.item.ItemStack;
  45:        106782       10251072  net.minecraft.client.renderer.texture.TextureAtlasSprite
  46:        207271        9949008  net.minecraftforge.fml.common.discovery.asm.ASMModParser
  47:        591470        9463520  net.minecraft.nbt.NBTTagString
  48:         31549        8701536  [Lcom.hbm.world.gen.nbt.NBTStructure$BlockState;
  49:        130105        8326720  [Lnet.minecraft.client.model.TexturedQuad;
  50:        130089        8325696  net.minecraft.client.model.ModelBox
  51:        513945        8223120  java.lang.Integer (java.base@25.0.4)
  52:         76968        8004672  java.net.URL (java.base@25.0.4)
  53:        195677        7827080  net.minecraftforge.client.model.obj.OBJModel$Vertex
  54:         80229        7701984  java.util.concurrent.ConcurrentHashMap (java.base@25.0.4)
  55:        106683        7681176  org.embeddedt.embeddium.impl.util.collections.quadtree.QuadTree
  56:        308156        7395744  it.unimi.dsi.fastutil.objects.ObjectArrayList
  57:         39595        7285480  net.ilexiconn.llibrary.client.model.tools.AdvancedModelRenderer
  58:        219733        7031456  codechicken.lib.vec.Vector3
  59:         79340        6981920  it.unimi.dsi.fastutil.objects.Object2ObjectOpenHashMap
  60:        217983        6975456  java.util.LinkedList (java.base@25.0.4)
  61:        165728        6630688  [Lcom.hbm.render.loader.Vertex;
  62:        162988        6519520  github.kasuminova.stellarcore.common.util.NBTTagBackingList
  63:        196578        6109208  [Ljava.lang.String; (java.base@25.0.4)
  64:        380038        6080608  java.util.HashSet (java.base@25.0.4)
  65:           592        6074880  [Lcom.google.common.collect.HashBiMap$Node;
  66:         75913        6073040  org.objectweb.asm.Label
  67:         56279        5853016  net.minecraft.client.model.ModelRenderer
  68:         50254        5628448  java.lang.reflect.Field (java.base@25.0.4)
  69:        224848        5396352  kotlin.Pair
  70:         61163        5382344  it.unimi.dsi.fastutil.ints.Int2ObjectOpenHashMap
  71:         82864        5303296  com.hbm.render.loader.Face
  72:        162988        5215616  net.minecraft.nbt.NBTTagList
  73:         87350        4891600  org.objectweb.asm.tree.VarInsnNode
  74:        203733        4889592  javax.vecmath.Vector4f
  75:        303866        4861856  it.unimi.dsi.fastutil.objects.Object2ObjectOpenHashMap$MapEntrySet
  76:         75702        4844928  java.util.EnumMap (java.base@25.0.4)
  77:        145140        4644480  github.kasuminova.stellarcore.common.util.NonNullList
  78:         74903        4194568  java.security.CodeSource (java.base@25.0.4)
  79:        260551        4168816  java.util.HashMap$KeySet (java.base@25.0.4)
